,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text, Close/Last, Volume, Open, High, Low,Sentiment
0,623495513,True,golden,10,,3,0.6264,12/01/2014,5.4e+17,#AAPL OR @Apple,"3
not_relevant",#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx, $115.07,83657780, $118.81, $119.25, $111.27,pos
1,623495514,True,golden,12,,3,0.8129,12/01/2014,5.4e+17,#AAPL OR @Apple,"3
1","RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9", $115.07,83657780, $118.81, $119.25, $111.27,pos
2,623495515,True,golden,10,,3,1.0,12/01/2014,5.4e+17,#AAPL OR @Apple,3,My cat only chews @apple cords. Such an #AppleSnob., $115.07,83657780, $118.81, $119.25, $111.27,neg
3,623495516,True,golden,17,,3,0.5848,12/01/2014,5.4e+17,#AAPL OR @Apple,"3
1","I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see", $115.07,83657780, $118.81, $119.25, $111.27,pos
4,623495517,False,finalized,3,12/12/14 12:14,3,0.6474,12/01/2014,5.4e+17,#AAPL OR @Apple,,Nobody expects the Spanish Inquisition #AAPL, $115.07,83657780, $118.81, $119.25, $111.27,pos
5,623495518,True,golden,13,,3,0.5975,12/01/2014,5.4e+17,#AAPL OR @Apple,5,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS, $115.07,83657780, $118.81, $119.25, $111.27,pos
6,623495519,True,golden,13,,5,0.8468,12/01/2014,5.4e+17,#AAPL OR @Apple,5,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB, $115.07,83657780, $118.81, $119.25, $111.27,pos
7,623495520,True,golden,9,,5,0.6736,12/01/2014,5.4e+17,#AAPL OR @Apple,"5
3",CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK, $115.07,83657780, $118.81, $119.25, $111.27,pos
8,623495521,True,golden,15,,3,0.7997,12/01/2014,5.4e+17,#AAPL OR @Apple,1,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL, $115.07,83657780, $118.81, $119.25, $111.27,pos
9,623495522,False,finalized,3,12/12/14 0:52,3,0.636,12/01/2014,5.4e+17,#AAPL OR @Apple,,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd, $115.07,83657780, $118.81, $119.25, $111.27,pos
10,623495523,True,golden,12,,1,1.0,12/01/2014,5.4e+17,#AAPL OR @Apple,1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple, $115.07,83657780, $118.81, $119.25, $111.27,neg
11,623495524,True,golden,9,,3,0.6658,12/01/2014,5.4e+17,#AAPL OR @Apple,5,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch, $115.07,83657780, $118.81, $119.25, $111.27,pos
